sample,VisualFidelity,Contrastiveness,VFxContrastiveness,"Min(VF,Contrast)","Avg(VF,Contrast)",Support,Informative,Commonsense_Plausibility,mean_ece
1,0.40833333333333327,0.2452590117858554,0.18885591258885992,0.20274980619969896,0.29918691062065556,0.23972423804928894,0.5,0.1781770786922425,0.3175930852466147
2,0.3933333333333333,0.22313621731072059,0.1551281882947866,0.15181858744687562,0.29381701431461155,0.267949672508542,0.5,0.19824785771779715,0.3034288549862218
3,0.39683333333333337,0.23247440350654947,0.14395677695267656,0.16547509764072033,0.28667273442209246,0.3341038909173886,0.5,0.1846311694383621,0.3053268237539917
4,0.3837380952380952,0.2756491124259083,0.1937538010872149,0.2257266517075844,0.2972189814582098,0.2793007559664062,0.5,0.18904849532060325,0.31886872970740443
5,0.39799999999999996,0.27287726790476835,0.20520391540650035,0.20237804620298802,0.2837655871655941,0.35018125821124896,0.5,0.16348296376876534,0.3182142850234541
6,0.4186666666666667,0.21638351707755737,0.15323803242872766,0.1649796244509198,0.308240088545179,0.294561890404371,0.5,0.17803488761186603,0.31443009076313433
7,0.39607142857142846,0.249033833160474,0.19729461453301064,0.20359501896866683,0.2802203567868177,0.36804641083970013,0.5,0.11364261749200523,0.3084418728395734
8,0.3963333333333333,0.26923213250950184,0.1838549486764908,0.2140274299428687,0.30982165997023814,0.33263585363037523,0.5,0.11228774073533715,0.3251290419376911
9,0.42807142857142855,0.2186073918911649,0.16617457376951514,0.16344973144608763,0.29246306390856047,0.2870246659332906,0.5,0.1768516946118325,0.3130472947903847
10,0.4021666666666667,0.24848052968687653,0.16709783304729142,0.18860085954782446,0.3066089528795458,0.25694226223437516,0.5,0.14429581913165748,0.31908538307769635
11,0.41314285714285715,0.2134495363850613,0.17372586586453817,0.16650154857709004,0.29395694791510324,0.3297566096527771,0.5,0.13313565525226298,0.30684978048100725
12,0.3881666666666666,0.31674800837569417,0.2384275147275458,0.25298715982585884,0.34410521412882955,0.29919025480011213,0.5,0.12726014885120096,0.3496732963903968
13,0.4185000000000001,0.23767939106813316,0.19690972489426609,0.2125038334595491,0.28240098107970546,0.33239066290136404,0.5,0.16482749223709106,0.3128601240492796
14,0.3993333333333333,0.25001267589245785,0.18479322784911015,0.1880873080461064,0.2861959635236366,0.3526264695222403,0.5,0.1495909333229065,0.31184732424980927
15,0.3928809523809524,0.22153869203707374,0.13658066961207813,0.14824681309795204,0.2850625860167967,0.2760645793582285,0.5,0.16439421477727592,0.2998274101449409
16,0.41325,0.25296369519916473,0.1949126051202653,0.20236608774473866,0.33860882818906396,0.314289348188866,0.5,0.1409698540251702,0.33494084112940953
17,0.41230952380952374,0.2686285940856503,0.18805967510279978,0.20575715577003828,0.3062820659596601,0.29558579950465463,0.5,0.20276970895938579,0.32907339461827806
18,0.3982380952380952,0.26719473507926517,0.17989224058350498,0.20222851688294796,0.28983751674086605,0.2947251074501861,0.5,0.10675387802533808,0.31842344901940883
19,0.4172142857142857,0.27684355339143185,0.2166169954091069,0.218129529174297,0.28156259923278876,0.32683163285508726,0.5,0.16202125432901085,0.3252068127795021
20,0.4048095238095239,0.2726595234645086,0.21096344993211416,0.2258418017068134,0.31994227682987003,0.25728108835507835,0.5,0.15158132761716844,0.33247044136796755
21,0.4084285714285714,0.24477462915084344,0.17569046327454793,0.18619865398099786,0.3108874153878004,0.28013678883731924,0.5,0.2052250501792878,0.3213635386557384
22,0.4035714285714285,0.256327387090477,0.20313675390362296,0.2147732491179952,0.3096620481735713,0.3211323783640955,0.5,0.14064134838990866,0.32318695461182556
23,0.4033333333333334,0.24448625801523327,0.19074923564700932,0.19051416375462582,0.2955707465234447,0.30238462176116404,0.5,0.15338940292596817,0.31446344595733716
24,0.3927380952380953,0.2440091869194039,0.1754997044186748,0.18796870177319533,0.310226515319247,0.28651130417611287,0.5,0.12426335188560188,0.31565793249224877
25,0.4011666666666666,0.24292046787050942,0.19751344943678795,0.19893938666915256,0.3046327726544302,0.24363199136862537,0.5,0.20344747575931252,0.3162399690638687
26,0.38266666666666665,0.2606334145242224,0.17502518385347365,0.18368038930485447,0.29913014819328526,0.3415410118140926,0.5,0.146206133691594,0.3141434097947248
27,0.4515,0.24171588622757703,0.21080913103227558,0.19240457733007457,0.30412455267859034,0.3236559943048513,0.5,0.12262339907698333,0.3324468129687224
28,0.39833333333333326,0.22879151419218235,0.17168718479054781,0.18314204502760398,0.30403852321792263,0.3217160720845163,0.5,0.13238081607036295,0.3103877902478127
29,0.43114285714285716,0.2601485049005739,0.20459859117026066,0.2282729980211945,0.2984329472629522,0.3442908032239643,0.5,0.11954355090856554,0.32990810310212776
30,0.35916666666666663,0.2479697543870804,0.18073900617208266,0.17311731557920598,0.29371110273554135,0.24953270972736846,0.5,0.1048802891653031,0.3002825079297628
31,0.40958333333333335,0.23877539835531084,0.18085997545728436,0.19589281982209011,0.2948759521909928,0.29066049990381826,0.5,0.15676255199126898,0.31441156129321235
32,0.42307142857142854,0.23857927135995752,0.16803524024134753,0.18097980891193302,0.29977838900644943,0.2766855299825017,0.5,0.17408933403901752,0.32047636297927845
33,0.40728571428571425,0.2549462065169061,0.2030589452469751,0.20443220877639756,0.3130619590323417,0.33489663372135225,0.5,0.16437023821286856,0.32509795994498736
