Dataset,Model,Accuracy,ECE VisualFidelity,ECE Contrastiveness,ECE VF*Contrastiveness,"ECE Min(VF,Contrast)","ECE Avg(VF,Contrast)",ECE Support,ECE informative,ECE Commonsense_Plausibility
AOKVQA,llava-v1.5-7b,0.696,0.20670000000000005,0.17631534383601621,0.16425387548422296,0.14720350251336722,0.10884650484262579,0.28764983124358484,0.332,0.16197600397467612
AOKVQA,qwen2.5-vl-7b-instruct,0.848,0.13705476190476185,0.13643137729143517,0.1538259706450942,0.14408081131657396,0.05350195378506946,0.21874164139645283,0.15200000000000002,0.27024219325743615
AOKVQA,gpt-4o-2024-05-13,0.91,0.09900000000000003,0.2095223974221232,0.23272207450486856,0.2268934559540386,0.08988953049792782,0.30241097267692474,0.22800000000000006,0.3168235737681389
VizWiz,llava-v1.5-7b,0.557,0.2706952380952381,0.3306277476511741,0.2997136941216869,0.27820506280673185,0.13725796202479715,0.30480404481605605,0.42899999999999994,0.10976430174708368
VizWiz,qwen2.5-vl-7b-instruct,0.838,0.136149206332,0.30595033468296073,0.3050965263621553,0.29338318418557097,0.16728139835021044,0.29174260181846334,0.16799999999999998,0.30987798083800006
VizWiz,gpt-4o-2024-05-13,0.84,0.16019999999999998,0.4508530160131818,0.4488329101568813,0.44743735350051406,0.21921705743095538,0.4941298400979764,0.446,0.32478881303966045
